show_id,director
s1001,Ahishor Solomon
s1002,Curtis Graham
s1003,Gerardo Gatica
s1004,Unknown
s1005,Unknown
s1006,Unknown
s1007,Suhas Kadav
s1008,Suhas Kadav
s1009,Suhas Kadav
s1010,Akshay Sanjeev Chavan
s1010,Sumit Das
s1011,Unknown
s1012,Unknown
s1013,Unknown
s1014,John Madden
s1015,Unknown
s1016,Edward James Olmos
s1017,Abhinay Deo
s1018,Kiran Rao
s1019,Abbas Tyrewala
s1020,Ashutosh Gowariker
s1021,Satyajit Bhatkal
s1022,Anusha Rizvi
s1022,Mahmood Farooqui
s1023,Aamir Khan
s1024,Shashank Khaitan
s1024,Raj Mehta
s1024,Neeraj Ghaywan
s1024,Kayoze Irani
s1025,Ryan Crego
s1026,Unknown
s1027,Cassi Simonds
s1028,Guillermo del Toro
s1029,Unknown
s1030,Tony Abulu
s1031,Mae Czarina Cruz
s1032,Stefan Westerwelle
s1033,Unknown
s1034,Ron Howard
s1035,Justin Benson
s1035,Aaron Moorhead
s1036,Niki Caro
s1037,Mark Dennis
s1037,Ben Foster
s1038,Taranveer Singh
s1039,Unknown
s1040,TT The Artist
s1041,Unknown
s1042,Keiichi Sato
s1042,Yasushi Kawamura
s1043,Glenn Weiss
s1044,Unknown
s1045,Unknown
s1046,Unknown
s1047,Michael Civille
s1048,Unknown
s1049,Unknown
s1050,Unknown
s1051,Ryuichi Hiroki
s1052,Unknown
s1053,Paul Thomas Anderson
s1054,One9
s1055,Adriano Rudiman
s1056,Luis Valdez
s1057,Unknown
s1058,Unknown
s1059,Unknown
s1060,Unknown
s1061,Unknown
s1062,Unknown
s1063,Unknown
s1064,Unknown
s1065,Unknown
s1066,Unknown
s1067,Cheng Wei-hao
s1068,Pass Patthanakumjon
s1069,Unknown
s1070,Buchi Babu Sana
s1071,Fredrick Munk
s1072,Suhas Kadav
s1073,Suhas Kadav
s1074,Suhas Kadav
s1075,Suhas Kadav
s1076,Moyoung Jin
s1076,Caroline Sá
s1076,Deepti Kakkar
s1076,Fahad Mustafa
s1076,Hikaru Toda
s1076,Chico Pereira
s1076,Elaine McMillion Sheldon
s1077,Suhas Kadav
s1078,Suhas Kadav
s1079,Suhas Kadav
s1080,Unknown
s1081,Zhao Ji
s1082,Unknown
s1083,Unknown
s1084,Jamie Babbit
s1085,Unknown
s1086,Park Hoon-jung
s1087,Dare Olaitan
s1088,Hardik Mehta
s1089,Ben Falcone
s1090,Travon Free
s1090,Martin Desmond Roe
s1091,Angga Dwimas Sasongko
s1092,Unknown
s1093,Unknown
s1094,Unknown
s1095,Unknown
s1096,Unknown
s1097,Steve Rolston
s1098,Shalini Kantayya
s1099,Madonne Ashwin
s1100,Enah Johnscott
s1101,Braden R. Duemmler
s1102,Cal Brunker
s1103,Steve Pink
s1104,Xiao Feng
s1105,Vince Marcello
s1106,Ricky Staub
s1107,Patrick Durham
s1107,Paul G. Volk
s1108,BB Sasore
s1109,Naseef Yusuf Izuddin
s1110,Appie Boudellah
s1110,Aram van de Rest
s1111,Sylvie Verheyde
s1112,Nick Moore
s1113,Alex Zamm
s1114,Roland Emmerich
s1115,Rajkumar Hirani
s1116,Rajesh Mapuskar
s1117,Unknown
s1118,Lina Al Abed
s1119,James Wan
s1120,David Hackl
s1121,Takeshi Nozue
s1122,Robert Luketic
s1123,Subhash Kapoor
s1124,Unknown
s1125,Ringo Lam
s1126,Unknown
s1127,George Cukor
s1128,Unknown
s1129,Tony Giglio
s1130,Unknown
s1131,Hidenori Inoue
s1132,Hidenori Inoue
s1133,Hidenori Inoue
s1134,Don Michael Paul
s1135,Shinji Aramaki
s1135,Masaru Matsumoto
s1136,John Luessenhop
s1137,Hanung Bramantyo
s1137,Pandu Adjisurya
s1138,Bashir El Deek
s1139,Roman Polański
s1140,Nelson McCormick
s1141,Mic Rodgers
s1142,Bejoy Nambiar
s1143,Shawn Rech
s1144,Unknown
s1145,Peyton Reed
s1146,Julian Schnabel
s1147,Adrián García Bogliano
s1148,Jose Gomez
s1149,Unknown
s1150,Unknown
s1151,Jonathon Link
s1152,Blair Simmons
s1153,Unknown
s1154,Justin Chadwick
s1155,John Hillcoat
